;2049_04_Week_1;2049_04_Week_2;2049_04_Week_3;2049_04_Week_4; Grade
9260520;35;5;41;CONSULTANT
9179633;18;12;11;SENIOR CONSULTANT
9485030;5;18;21;STUDENT
9872970;3;22;6;SENIOR STUDENT
9950547;21;39;38;STUDENT
9300117;15;42;23;SENIOR MANAGER
9349828;24;8;32;SENIOR CONSULTANT
9970557;8;40;25;SENIOR CONSULTANT
9870708;29;6;7;SENIOR CONSULTANT
9452259;5;14;29;SENIOR MANAGER
9604643;18;33;26;SENIOR MANAGER
9641841;33;22;26;PARTNER
9348063;32;34;10;CONSULTANT
9724368;0;30;16;CONSULTANT
9044737;21;24;7;CONSULTANT
9214902;4;1;34;PARTNER
9398154;41;21;38;SENIOR STUDENT
9900683;30;12;29;CONSULTANT
9684349;34;26;15;STUDENT
9062296;7;25;28;SENIOR CONSULTANT
9117178;7;13;22;SENIOR CONSULTANT
9444760;15;29;11;CONSULTANT
9378623;26;4;4;SENIOR STUDENT
9413657;26;19;1;STUDENT
9514693;31;9;42;SENIOR STUDENT
9430834;36;30;17;SENIOR MANAGER
9318280;40;2;35;SENIOR MANAGER
9122786;0;16;37;STUDENT
9005219;9;25;13;CONSULTANT
9432783;17;12;39;STUDENT
9112963;29;30;1;CONSULTANT
9265193;37;36;10;PARTNER
9804953;24;41;25;SENIOR CONSULTANT
9975574;4;38;26;SENIOR MANAGER
9871844;6;18;2;SENIOR CONSULTANT
9073432;36;6;2;CONSULTANT
9419359;40;31;14;SENIOR CONSULTANT
9186403;32;35;7;MANAGER
9240258;0;2;20;SENIOR STUDENT
9678359;29;20;14;CONSULTANT
9209390;31;17;10;CONSULTANT
9007767;32;30;12;SENIOR STUDENT
9302911;2;5;30;CONSULTANT
9157257;34;13;3;SENIOR STUDENT
9691786;26;30;26;SENIOR CONSULTANT
9179287;16;14;4;CONSULTANT
9535182;27;39;41;MANAGER
9395156;17;21;42;SENIOR STUDENT
9354385;26;40;31;CONSULTANT
9349852;3;3;29;CONSULTANT
9227720;42;40;25;STUDENT
9981322;14;13;0;PARTNER
9907539;2;18;39;STUDENT
9177172;15;41;33;MANAGER
9425630;5;32;16;CONSULTANT
9242428;0;37;7;SENIOR CONSULTANT
9119697;9;40;2;SENIOR CONSULTANT
9740121;26;12;7;SENIOR STUDENT
9653880;5;41;38;SENIOR CONSULTANT
9329665;39;22;18;CONSULTANT
9740216;12;11;38;STUDENT
9680788;27;35;3;STUDENT
9453564;12;15;28;SENIOR STUDENT
